Date,Elec (kWh),Elec Price,Gas (kWh),Gas Price
18/01/2023,4.05,1.27,,
19/01/2023,5.01,1.58,,
20/01/2023,4.78,1.50,,
21/01/2023,14.25,4.48,,
22/01/2023,17.47,5.49,,
23/01/2023,14.89,4.68,,
24/01/2023,6.39,2.01,,
25/01/2023,6.71,2.11,,
26/01/2023,4.43,1.39,,
27/01/2023,11.87,3.73,,
28/01/2023,9.66,3.04,,
29/01/2023,6.98,2.19,,
30/01/2023,11.66,3.67,,
31/01/2023,7.12,2.24,,
01/02/2023,7.21,2.27,,
02/02/2023,5.50,1.73,,
03/02/2023,5.64,1.77,,
04/02/2023,6.50,2.04,,
05/02/2023,10.78,3.39,,
06/02/2023,5.99,1.88,,
07/02/2023,11.79,3.71,,
08/02/2023,5.14,1.61,,
09/02/2023,4.28,1.34,,
10/02/2023,2.23,0.70,,
11/02/2023,20.33,6.39,,
12/02/2023,8.37,2.63,,
13/02/2023,17.76,5.58,,
14/02/2023,10.20,3.31,,
15/02/2023,6.85,2.15,,
16/02/2023,7.17,2.25,,
17/02/2023,5.71,1.80,,
18/02/2023,6.61,2.08,9.80,0.96
19/02/2023,5.92,1.86,35.63,3.48
20/02/2023,4.36,1.37,8.36,0.82
21/02/2023,3.10,0.97,27.67,2.70
22/02/2023,15.03,4.72,15.38,1.50
23/02/2023,15.04,4.73,10.52,1.03
24/02/2023,7.10,2.23,3.85,0.38
25/02/2023,4.71,1.48,13.02,1.27
26/02/2023,19.83,6.24,15.81,1.54
27/02/2023,6.85,2.15,9.06,0.88
28/02/2023,7.58,2.38,11.10,1.08
01/03/2023,6.35,2.00,7.51,0.73
02/03/2023,5.60,1.76,21.63,2.11
03/03/2023,5.74,1.80,6.33,0.62
04/03/2023,10.00,3.14,31.05,3.03
05/03/2023,18.86,5.93,12.13,1.18
06/03/2023,9.27,2.91,14.17,1.38
07/03/2023,9.62,3.03,10.45,1.02
08/03/2023,15.65,4.92,30.19,2.95
09/03/2023,9.81,3.08,36.09,3.52
10/03/2023,11.52,3.62,16.08,1.57
11/03/2023,8.55,2.69,15.24,1.49
12/03/2023,10.35,3.25,10.81,1.05
13/03/2023,11.42,3.59,20.08,1.96
